Church Name,Phone Number,Zip Code,Address,Denomination,State,URL
Irving United Methodist Church,217-533-4582,62051,"PO Box 90, Irving, IL, 62051",Interdenominational,MO,
St Luke Lutheran Church,217-533-4468,62051,"PO Box 215, Irving, IL, 62051",Evangelical Lutheran in America,MO,
Bethel Baptist Church,618-498-3190,62052,"29515 Kane Rd, Jerseyville, IL, 62052",American Baptist,MO,
Bible Baptist Church,618-498-6201,62052,"910 W County Rd, Jerseyville, IL, 62052",General Baptist,MO,
Charity Christian Center,618-498-4756,62052,"RR 1, Jerseyville, IL, 62052",Nondenominational,MO,
Christian Cooperation,618-498-6227,62052,"505 E Exchange St, Jerseyville, IL, 62052",Interdenominational,MO,
Church Of Christ,618-498-5609,62052,"RR 4 Box 344A, Jerseyville, IL, 62052",Church of Christ,MO,
Church Of The Nazarene,618-498-3538,62052,"285 Maple Summit Rd, Jerseyville, IL, 62052",Nazarene,MO,
Delhi Baptist Church,618-885-5352,62052,"18151 Church Ln, Jerseyville, IL, 62052",General Baptist,MO,
Faith Temple United Pentecostal Church,618-498-4544,62052,"501 June St, Jerseyville, IL, 62052",United Pentecostal,MO,
First Baptist Church,618-498-3602,62052,"200 W Pearl St, Jerseyville, IL, 62052",American Baptist,MO,
First Baptist Church,618-498-3063,62052,"1207 W County Rd, Jerseyville, IL, 62052",Baptist,MO,
First Church Christ Scientist,618-498-5337,62052,"105 N Liberty St, Jerseyville, IL, 62052",Christian Science,MO,
First Presbyterian Church,618-498-5423,62052,"400 S State St, Jerseyville, IL, 62052",Presbyterian Church (U.S.A.),MO,
First United Methodist Church,618-498-2621,62052,"1200 S Liberty St, Jerseyville, IL, 62052",United Methodist,MO,
Greater Alton Church Of Christ,618-498-3707,62052,"PO Box 386, Jerseyville, IL, 62052",Church of Christ,MO,
Holy Ghost Church,618-498-3416,62052,"306 N Washington St, Jerseyville, IL, 62052",Roman Catholic,MO,
Hope Lutheran Church,618-498-3423,62052,"1009 N State St, Jerseyville, IL, 62052",Lutheran - Missouri Synod,MO,
Jehovahs Witnesses,618-498-4737,62052,"906 E Prairie St, Jerseyville, IL, 62052",Jehovah's Witnesses,MO,
Jerseyville First Assembly Of God Church,618-498-9597,62052,"500 Cross Ave, Jerseyville, IL, 62052",Assemblies of God,MO,
Jerseyville First Southern Baptist Church,618-498-3023,62052,"203 N Jefferson St, Jerseyville, IL, 62052",Southern Baptist,MO,
New Beginning Wings Of A Dove,618-498-8842,62052,"400 S Washington St, Jerseyville, IL, 62052",Interdenominational,MO,
First Presbyterian Church,618-653-4634,62053,"PO Box 324, Kampsville, IL, 62053",Presbyterian Church (U.S.A.),MO,
Summit Grove Nazarene Church,618-653-4387,62053,"RR 1 Box 35, Kampsville, IL, 62053",Nazarene,MO,
Kane Baptist Church,217-942-5196,62054,"PO Box 97, Kane, IL, 62054",American Baptist,MO,
Barnett Christian Church,217-324-4598,62056,"4 Pin Oak Ln, Litchfield, IL, 62056",Christian (Disciples of Christ),MO,
Christian Church Litchfield,217-324-7107,62056,"131 Yaeger Lake Trl, Litchfield, IL, 62056",Nondenominational,MO,
Church Of Latter Day Saints,217-324-6057,62056,"1622 N Monroe St, Litchfield, IL, 62056",Mormon,MO,
Church Of Latter Day Saints,217-324-2396,62056,"12368 Roberson Rd, Litchfield, IL, 62056",Mormon,MO,
Cornerstone Apostolic Fellowship,217-556-8735,62056,"717 W Union Ave, Litchfield, IL, 62056",United Pentecostal,MO,
Faith Christian Fellowship/Ltc,217-324-5104,62056,"1010 N Van Buren St, Litchfield, IL, 62056",Nondenominational,MO,
Faith Lutheran Church,217-324-3926,62056,"PO Box 562, Litchfield, IL, 62056",Evangelical Lutheran in America,MO,
First Presbyterian Church,217-324-3361,62056,"1908 N State St, Litchfield, IL, 62056",Presbyterian Church (U.S.A.),MO,
Holy Family Church,217-324-2776,62056,"PO Box 8, Litchfield, IL, 62056",Roman Catholic,MO,
Litchfield Assembly Of God Church,217-324-3331,62056,"1125 N Harrison St, Litchfield, IL, 62056",Assemblies of God,MO,
Litchfield Christian Church,217-324-2490,62056,"PO Box 45, Litchfield, IL, 62056",Church of Christ,MO,
Litchfield First Baptist Church,217-324-4232,62056,"608 N Van Buren St, Litchfield, IL, 62056",Southern Baptist,MO,
Litchfield Southern Baptist Church,217-324-3701,62056,"PO Box 125, Litchfield, IL, 62056",Southern Baptist,MO,
Litchfield United Methodist Church,217-324-4324,62056,"219 E Union Ave, Litchfield, IL, 62056",United Methodist,MO,
Living Stones Church,217-324-4890,62056,"1100 Old Route 66 N, Litchfield, IL, 62056",Nondenominational,MO,
Mount Zion Lutheran Church,217-324-2627,62056,"824 N Monroe St, Litchfield, IL, 62056",Evangelical Lutheran in America,MO,
New Hope Baptist Church,217-324-5309,62056,"1303 N 18th Ave, Litchfield, IL, 62056",Southern Baptist,MO,
Radiant Life Worship Center,217-324-5252,62056,"PO Box 406, Litchfield, IL, 62056",Assemblies of God,MO,
Southside Church,217-324-5750,62056,"500 S Illinois Ave, Litchfield, IL, 62056",Nondenominational,MO,
Union Ave Christian Church,217-324-2327,62056,"422 E Union Ave, Litchfield, IL, 62056",Christian (Disciples of Christ),MO,
First Baptist Church,618-637-2660,62058,"413 S 2nd St, Livingston, IL, 62058",Baptist,MO,
Holy Cross Lutheran Church,618-637-2146,62058,"PO Box 397, Livingston, IL, 62058",Lutheran - Missouri Synod,MO,
Livingston First Baptist Church,618-637-2260,62058,"PO Box 398, Livingston, IL, 62058",Southern Baptist,MO,
Sacred Heart Church,618-637-2211,62058,"PO Box 458, Livingston, IL, 62058",Roman Catholic,MO,
Lovejoy Temple Church Of God,618-271-1096,62059,"511 Canal St, Lovejoy, IL, 62059",Other,MO,
Quinn Chapel African Methodist Episcopal Church,618-271-6917,62059,"108 N 5, Lovejoy, IL, 62059",Methodist,MO,
Southern Tabernacle Missionary Baptist Church,(618) 271-0336,62059,"117 North Fifth St, Lovejoy, IL, 62059",Missionary Baptist,MO,
St Elizabeth Spiritual Temple,618-874-4017,62059,"PO Box 132, Lovejoy, IL, 62059",Interdenominational,MO,
Union Baptist Church,618-874-4522,62059,"General Delivery, Lovejoy, IL, 62059",Baptist,MO,
First Christian Church,618-887-4256,62061,"PO Box 367, Marine, IL, 62061",Christian (Disciples of Christ),MO,
Marine United Church Of Christ,618-887-4465,62061,"111 N Center St, Marine, IL, 62061",United Church of Christ,MO,
St James Church,618-887-4535,62061,"PO Box 457, Marine, IL, 62061",Roman Catholic,MO,
Apostolic Lighthouse Church,618-729-2115,62063,"PO Box 137, Medora, IL, 62063",United Pentecostal,MO,
Assembly Of God Church,618-729-4437,62063,"RR 1 Box 885, Medora, IL, 62063",Assemblies of God,MO,
Church Body Modification,618-978-5510,62063,"10037 Route 111, Medora, IL, 62063",Reformed,MO,
Harmony Baptist Church,618-836-7722,62063,"5028 Harmony Church Rd, Medora, IL, 62063",Southern Baptist,MO,
Mount Pleasant Baptist Church,618-729-3821,62063,"PO Box 103, Medora, IL, 62063",Southern Baptist,MO,
Meadowbrook First Baptist Church,618-377-9831,62067,"105 Fairway Dr, Moro, IL, 62067",Southern Baptist,MO,
Moro Presbyterian Church,618-377-6395,62067,"402 W Moro Dr, Moro, IL, 62067",Presbyterian Church (U.S.A.),MO,
St Johns United Church Of Christ,618-377-9288,62067,"7456 Lake St, Moro, IL, 62067",United Church of Christ,MO,
Holy Trinity Church,217-999-4981,62069,"PO Box 259, Mount Olive, IL, 62069",Roman Catholic,MO,
Immanuel Lutheran Church,217-999-7442,62069,"111 E Main St, Mount Olive, IL, 62069",Lutheran - Missouri Synod,MO,
Mount Olive First Baptist Church,217-999-7952,62069,"410 W 3rd North St, Mount Olive, IL, 62069",Southern Baptist,MO,
Mount Olive Snior Ctizens Association,217-999-4884,62069,"311 S Cherry St, Mount Olive, IL, 62069",Interdenominational,MO,
Sorento United Methodist Church,217-999-5531,62069,"109 E 2nd North St, Mount Olive, IL, 62069",United Methodist,MO,
Zion Lutheran Church,217-999-4781,62069,"500 S Old Route 66, Mount Olive, IL, 62069",Evangelical Lutheran in America,MO,
Immanuel Lutheran Church,217-456-7611,62074,"PO Box 135, New Douglas, IL, 62074",Evangelical Lutheran in America,MO,
New Douglas Baptist Church,217-456-6161,62074,"PO Box 137, New Douglas, IL, 62074",Southern Baptist,MO,
Coalton Baptist Chapel,217-563-2683,62075,"675 E Haller Ave, Nokomis, IL, 62075",Baptist,MO,
Coalton Baptist Church,618-423-2923,62075,"591 N 5th St, Nokomis, IL, 62075",Southern Baptist,MO,
Fairview Methodist Church,217-563-2964,62075,"1194 E 300 North Rd, Nokomis, IL, 62075",Methodist,MO,
Fairview United Methodist Church,618-423-2222,62075,"1437 E 350 North Rd, Nokomis, IL, 62075",United Methodist,MO,
First Baptist Church,217-563-8836,62075,"211 E South St, Nokomis, IL, 62075",American Baptist,MO,
First United Methodist Church,217-563-2851,62075,"220 S Cedar St, Nokomis, IL, 62075",United Methodist,MO,
First United Pentecostal Church,217-563-2800,62075,"PO Box 67, Nokomis, IL, 62075",United Pentecostal,MO,
Grace Baptist Church,217-563-7865,62075,"965 East Union, Nokomis, IL, 62075",Southern Baptist,MO,
Shiloh Baptist Church,217-563-7085,62075,"28103 N 19th Ave, Nokomis, IL, 62075",Southern Baptist,MO,
South Fork United Methodist Church,217-563-7520,62075,"1431 E 100 North Rd, Nokomis, IL, 62075",United Methodist,MO,
St Louis Church,217-563-7146,62075,"311 S Elm St, Nokomis, IL, 62075",Roman Catholic,MO,
St Matthew Lutheran Church,217-563-2043,62075,"217 E Union St, Nokomis, IL, 62075",Evangelical Lutheran in America,MO,
St Paul Lutheran Church,217-563-2487,62075,"22009 E 19th Rd, Nokomis, IL, 62075",Lutheran - Missouri Synod,MO,
The United Pentecostal Church of Nokomis,217-563-2800,62075,"219 N Oak St, Nokomis, IL, 62075",Pentecostal,MO,
Trinity Lutheran Church,217-563-2718,62075,"204 N Pine St, Nokomis, IL, 62075",Lutheran - Missouri Synod,MO,
St Pauls United Church Of Christ,217-563-7465,62076,"PO Box 66, Ohlman, IL, 62076",United Church of Christ,MO,
Keyesport United Methodist Church,217-537-3115,62077,"PO Box 727, Panama, IL, 62077",United Methodist,MO,
Mount Zion Baptist Church,618-729-4295,62079,"PO Box 68, Piasa, IL, 62079",Southern Baptist,MO,
Bayle City Baptist Church,618-423-2629,62080,"PO Box 483, Ramsey, IL, 62080",Southern Baptist,MO,
Bingham First Baptist Church,217-538-2534,62080,"RR 1 Box 116, Ramsey, IL, 62080",Southern Baptist,MO,
First Apostolic United Pentecostal Church Of Ramsey,618-423-2209,62080,"RR 1 Box 210, Ramsey, IL, 62080",Apostolic,MO,
Mount Carmel Church,618-423-2665,62080,"RR 1 Box 123, Ramsey, IL, 62080",Interdenominational,MO,
New Bethel Baptist Church,618-349-8394,62080,"RR 1 Box 141, Ramsey, IL, 62080",Southern Baptist,MO,
Oak Valley United Pentecostal Church,217-539-4488,62080,"15205 Oak Valley Rd, Ramsey, IL, 62080",United Pentecostal,MO,
Ramsey Christian Church,618-423-2121,62080,"PO Box 453, Ramsey, IL, 62080",Church of Christ,MO,
Ramsey First Baptist Church,618-423-2626,62080,"RR 1 Box 38, Ramsey, IL, 62080",Southern Baptist,MO,
Ramsey United Methodist Church,618-423-9043,62080,"PO Box 454, Ramsey, IL, 62080",United Methodist,MO,
St Josephs Church,618-423-2424,62080,"PO Box 455, Ramsey, IL, 62080",Roman Catholic,MO,
Union Christian Church,618-423-9358,62080,"RR 1 Box 304, Ramsey, IL, 62080",Church of Christ,MO,
Vera Baptist Church,618-423-2580,62080,"RR 2 Box 244, Ramsey, IL, 62080",Southern Baptist,MO,
Assembly Of God Church,217-589-5145,62082,"302 W Lorton St, Roodhouse, IL, 62082",Assemblies of God,MO,
Athensville Southern Baptist Church,217-589-4496,62082,"RR 3 Box 79, Roodhouse, IL, 62082",Southern Baptist,MO,
Barrow Baptist Church,217-589-4931,62082,"RR 1 Box 119A, Roodhouse, IL, 62082",American Baptist,MO,
Emmanuel Baptist Church,217-589-4760,62082,"324 E Franklin St, Roodhouse, IL, 62082",Southern Baptist,MO,
Gentle Shepard Fellowship,217-374-6298,62082,"RR 1, Roodhouse, IL, 62082",Interdenominational,MO,
Lighthouse Outreach Center,217-589-4870,62082,"303 W Palm St, Roodhouse, IL, 62082",Nondenominational,MO,
Martins Prairie Baptist Church,217-589-4447,62082,"RR 3, Roodhouse, IL, 62082",Baptist,MO,
Pleasant Hill Baptist Church,217-742-3202,62082,"RR 1 Box 163, Roodhouse, IL, 62082",Southern Baptist,MO,
Rehoboth Mennonite Church,217-589-4757,62082,"222 W Franklin St, Roodhouse, IL, 62082",Mennonite,MO,
Souls Harbor Apostolic Church,217-374-2057,62082,"1003 S Thompson Ave, Roodhouse, IL, 62082",United Pentecostal,MO,
United Methodist Church,217-589-4531,62082,"PO Box 120, Roodhouse, IL, 62082",Interdenominational,MO,
Community Presbyterian Church,217-629-7709,62083,"PO Box 6, Rosamond, IL, 62083",Presbyterian Church (U.S.A.),MO,
Church Of Nazarene Prsng,618-254-5547,62084,"201 W Tydeman Ave, Roxana, IL, 62084",Other,MO,
Church Of The Nazarene,618-254-4026,62084,"PO Box 55, Roxana, IL, 62084",Nazarene,MO,
Nazerene Community Center,618-254-0325,62084,"400 N Central Ave, Roxana, IL, 62084",Nazarene,MO,
Pathways Parish,618-254-0122,62084,"4821 Wanda Rd, Roxana, IL, 62084",Methodist,MO,
Tri County Church Of Christ,618-254-8150,62084,"118 W 1st St, Roxana, IL, 62084",Christian (Disciples of Christ),MO,
Troy RLDS Church,618-254-1014,62084,"228 Doerr St, Roxana, IL, 62084",Mormon,MO,
Wanda United Methodist Church,618-251-5145,62084,"4813 Wanda Rd, Roxana, IL, 62084",Interdenominational,MO,
Community Of Christ,217-835-2156,62085,"PO Box 55, Sawyerville, IL, 62085",Mormon,MO,
Assembly Of God Church,217-272-4222,62086,"PO Box 295, Sorento, IL, 62086",Assemblies of God,MO,
Sorento Free Methodist Church,217-456-9361,62086,"RR 2 Box 130A, Sorento, IL, 62086",Methodist,MO,
Assembly Of God Church,618-254-0441,62087,"PO Box 518, South Roxana, IL, 62087",Assemblies of God,MO,
Bethel Free Will Baptist Church,618-254-1308,62087,"PO Box 535, South Roxana, IL, 62087",Baptist,MO,
Assembly Church,(618) 635-5656,62088,"1330 S Hackman St, Staunton, IL, 62088",Assemblies of God,MO,
Bethel Southern Baptist Church,618-635-8777,62088,"1250 S Hackman St, Staunton, IL, 62088",Southern Baptist,MO,
First Assembly Of God Church,618-635-5656,62088,"PO Box 216, Staunton, IL, 62088",Assemblies of God,MO,
First General Baptist Church,618-635-2590,62088,"628 W 8th St, Staunton, IL, 62088",Baptist,MO,
First United  Baptist Church,618-635-3013,62088,"604 N Franklin St, Staunton, IL, 62088",American Baptist,MO,
St Michaels Church,618-635-3140,62088,"PO Box 240, Staunton, IL, 62088",Roman Catholic,MO,
St Paul United Church Of Christ,618-635-2386,62088,"225 S Laurel St, Staunton, IL, 62088",United Church of Christ,MO,
Staunton United Methodist Church,618-635-3010,62088,"513 W Main St, Staunton, IL, 62088",United Methodist,MO,
Zion Lutheran Church,618-635-2880,62088,"311 S Elm St, Staunton, IL, 62088",Lutheran - Missouri Synod,MO,
Taylor Springs Baptist Church,217-532-2627,62089,"PO Box 222, Taylor Springs, IL, 62089",Southern Baptist,MO,
Walshville Baptist Church,217-999-7460,62091,"3026 Schoeny Trl, Walshville, IL, 62091",Southern Baptist,MO,
Walshville Christian Church,217-999-7407,62091,"303 1st St, Walshville, IL, 62091",Church of Christ,MO,
All Saints Catholic Church,217-374-6884,62092,"167 Ross St, White Hall, IL, 62092",Roman Catholic,MO,
Calvary Baptist Church,217-374-6479,62092,"130 Raines Dr, White Hall, IL, 62092",Southern Baptist,MO,
First Baptist Church,217-589-5357,62092,"E Side Sq, White Hall, IL, 62092",American Baptist,MO,
First Baptist Church,217-374-2030,62092,"109 N Carrollton St, White Hall, IL, 62092",American Baptist,MO,
First Christian Church,217-374-2927,62092,"PO Box 253, White Hall, IL, 62092",Christian (Disciples of Christ),MO,
New Life Church,217-374-2787,62092,"626 Curtis Pl, White Hall, IL, 62092",Interdenominational,MO,
Pentecostal Church,217-374-2715,62092,"325 Douglas St, White Hall, IL, 62092",United Pentecostal,MO,
Presbyterian Church,217-374-2467,62092,"125 W Bridgeport St, White Hall, IL, 62092",Presbyterian,MO,
Walkerville Baptist Church,217-374-6673,62092,"46 Lincoln Dr, White Hall, IL, 62092",Southern Baptist,MO,
Faith Tabernacle Pentecostal Church Of God,217-835-2048,62093,"PO Box 304, Wilsonville, IL, 62093",Pentecostal,MO,
Pentecostal Church Of God,618-362-6434,62093,"138 Hwy 138, Wilsonville, IL, 62093",Pentecostal,MO,
Kincaid Church Of The Nazarene,217-554-1801,62094,"19104 E 15th Rd, Witt, IL, 62094",Nazarene,MO,
St Barbaras Catholic Church,217-594-7735,62094,"21 N Main St, Witt, IL, 62094",Roman Catholic,MO,
Witt Christian Church,217-594-7716,62094,"PO Box 408, Witt, IL, 62094",Church of Christ,MO,
Witt United Methodist Church,217-594-2426,62094,"PO Box 425, Witt, IL, 62094",United Methodist,MO,
Bethlehem Baptist Church,618-254-8837,62095,"531 10th St, Wood River, IL, 62095",Southern Baptist,MO,
First Assembly Of God Church,618-259-5606,62095,"781 N 9th St, Wood River, IL, 62095",Assemblies of God,MO,
First Baptist Church,618-254-6652,62095,"300 E Lorena Ave, Wood River, IL, 62095",American Baptist,MO,
First Christian Church,618-254-3221,62095,"160 E Lorena Ave, Wood River, IL, 62095",Church of Christ,MO,
First General Baptist Wood River,618-258-0205,62095,"1332 Miland St, Wood River, IL, 62095",Baptist,MO,
First United Methodist Church Wood River,618-254-1921,62095,"30 N 6th St, Wood River, IL, 62095",Interdenominational,MO,
Ivy Heights Church Of God,618-254-4123,62095,"1901 Old Alton Edwardsville Rd, Wood River, IL, 62095",Church of God (Anderson IN),MO,
New Hope Baptist Church,618-254-1782,62095,"PO Box 145, Wood River, IL, 62095",Baptist,MO,
St Bernards Church,618-254-0679,62095,"345 E Acton Ave, Wood River, IL, 62095",Roman Catholic,MO,
St Johns United Church Of Christ,618-254-6682,62095,"PO Box 525, Wood River, IL, 62095",United Church of Christ,MO,
St Paul Lutheran Church,618-259-0257,62095,"1327 Vaughn Rd, Wood River, IL, 62095",Lutheran - Missouri Synod,MO,
United Pentecostal Church,618-254-6166,62095,"349 E Lorena Ave, Wood River, IL, 62095",United Pentecostal,MO,
United Pentecostal Church,618-254-5300,62095,"514 Crestview Dr, Wood River, IL, 62095",Pentecostal,MO,
United Presbyterian Church,618-254-5880,62095,"PO Box 596, Wood River, IL, 62095",Presbyterian Church (U.S.A.),MO,
Vaughn Hill Church Of Christ,618-259-2100,62095,"PO Box 338, Wood River, IL, 62095",Church of Christ,MO,
Wanda United Methodist Church,618-259-0049,62095,"1106 Poplar St, Wood River, IL, 62095",United Methodist,MO,
Whitelaw Baptist Church,618-254-3848,62095,"800 Whitelaw Ave, Wood River, IL, 62095",Southern Baptist,MO,
Wood River Missionary Baptist Church,618-254-5625,62095,"467 N 3rd St, Wood River, IL, 62095",American Baptist,MO,
Assembly Of God Church,618-459-7181,62097,"PO Box 249, Worden, IL, 62097",Assemblies of God,MO,
New Hope Baptist Church,618-459-3260,62097,"8736 Wieseman Rd, Worden, IL, 62097",Southern Baptist,MO,
Trinity Lutheran Church,618-459-3991,62097,"PO Box 296, Worden, IL, 62097",Lutheran - Missouri Synod,MO,
Worden Christian Church,618-459-3284,62097,"223 N Lincoln St, Worden, IL, 62097",Church of Christ,MO,
Hickory Grove Baptist Church,217-368-2600,62098,"PO Box 85, Wrights, IL, 62098",Southern Baptist,MO,
Anointed Word Church,314-738-9890,63044,"11343 Old Saint Charles Rd, Bridgeton, MO, 63044",Interdenominational,MO,
Arlington United Methodist Church,314-739-0434,63044,"3770 Mckelvey Rd, Bridgeton, MO, 63044",United Methodist,MO,
